Speech,Label,text,clean_text,tokenized_clean_text,tokenized_stem_text,token_length
খাবারের মান যথেষ্ট খারাপ। দামের তুলনায় পরিমান অনেক কম। ইফতার প্লাটারের ছবির সাথে বাস্তবের কোন মিল নাই। চোখে দেখা যায় না এমন সাইজের চিকেন বল পেলাম। যাদের টাকা রাখার কোন যায়গা নেই তারা যেতে পারেন।,0,খাবারের মান খারাপ দাম তুলনায় পরিমান কম ইফত প্লাটারের ছবির সাথে বাস্তব মিল চোখে না সাইজ চি বল পেল টাকা রাখা যায়গা পারেন,খাবারের মান খারাপ দামের তুলনায় পরিমান কম ইফতার প্লাটারের ছবির সাথে বাস্তবের মিল চোখে না সাইজের চি বল পেলাম টাকা রাখার যায়গা পারেন,"['খাবারের', 'মান', 'খারাপ', 'দামের', 'তুলনায়', 'পরিমান', 'কম', 'ইফতার', 'প্লাটারের', 'ছবির', 'সাথে', 'বাস্তবের', 'মিল', 'চোখে', 'না', 'সাইজের', 'চি', 'বল', 'পেলাম', 'টাকা', 'রাখার', 'যায়গা', 'পারেন']","['খাবারের', 'মান', 'খারাপ', 'দাম', 'তুলনায়', 'পরিমান', 'কম', 'ইফত', 'প্লাটারের', 'ছবির', 'সাথে', 'বাস্তব', 'মিল', 'চোখে', 'না', 'সাইজ', 'চি', 'বল', 'পেল', 'টাকা', 'রাখা', 'যায়গা', 'পারেন']",23
বিশ্ব বাটপার।,0,বিশ্ব বাটপ,বিশ্ব বাটপার,"['বিশ্ব', 'বাটপার']","['বিশ্ব', 'বাটপ']",2
আপেল আর একটু বাড়ালে আরো ভালো হতো,2,আপেল একটু বাড়ালে আরো ভালো হত,আপেল একটু বাড়ালে আরো ভালো হতো,"['আপেল', 'একটু', 'বাড়ালে', 'আরো', 'ভালো', 'হতো']","['আপেল', 'একটু', 'বাড়ালে', 'আরো', 'ভালো', 'হত']",6
ফিরনির সাথে চামচ দেওয়া হয় নাই,0,ফিরনির সাথে চামচ নাই,ফিরনির সাথে চামচ নাই,"['ফিরনির', 'সাথে', 'চামচ', 'নাই']","['ফিরনির', 'সাথে', 'চামচ', 'নাই']",4
ফ্রেন্স ফ্রাই আহামরি বেশি না,2,ফ্রেন্স ফ্রা আহামরি না,ফ্রেন্স ফ্রাই আহামরি না,"['ফ্রেন্স', 'ফ্রাই', 'আহামরি', 'না']","['ফ্রেন্স', 'ফ্রা', 'আহামরি', 'না']",4
কাবাব দাম অনুযায়ী মোটামুটি,2,কাবাব দাম মোটামু,কাবাব দাম মোটামুটি,"['কাবাব', 'দাম', 'মোটামুটি']","['কাবাব', 'দাম', 'মোটামু']",3
ফ্রেন্স ফ্রাই আর একটু হলে জমতো,2,ফ্রেন্স ফ্রা একটু জম,ফ্রেন্স ফ্রাই একটু জমতো,"['ফ্রেন্স', 'ফ্রাই', 'একটু', 'জমতো']","['ফ্রেন্স', 'ফ্রা', 'একটু', 'জম']",4
দুধ আর আরেক্টু বাড়ালে জমতো,2,দুধ আরেক্টু বাড়ালে জম,দুধ আরেক্টু বাড়ালে জমতো,"['দুধ', 'আরেক্টু', 'বাড়ালে', 'জমতো']","['দুধ', 'আরেক্টু', 'বাড়ালে', 'জম']",4
সমুচা আরও রান্না হলে ভালো হতো,2,সমুচা রান্না ভালো হত,সমুচা রান্না ভালো হতো,"['সমুচা', 'রান্না', 'ভালো', 'হতো']","['সমুচা', 'রান্না', 'ভালো', 'হত']",4
খাজনার চেয়ে বাজনা বড়।এটার নাম হবে হয়তো গাজাঁকাট আইসক্রিম।,0,খাজন চায় বাজনা বড় এটা নাম হয় গাজাঁকাট আইসক্রিম,খাজনার চেয়ে বাজনা বড় এটার নাম হয়তো গাজাঁকাট আইসক্রিম,"['খাজনার', 'চেয়ে', 'বাজনা', 'বড়', 'এটার', 'নাম', 'হয়তো', 'গাজাঁকাট', 'আইসক্রিম']","['খাজন', 'চায়', 'বাজনা', 'বড়', 'এটা', 'নাম', 'হয়', 'গাজাঁকাট', 'আইসক্রিম']",9
আলু ভর্তা খুবই বাজে,0,আলু ভর্ খুব বাজে,আলু ভর্ খুবই বাজে,"['আলু', 'ভর্', 'খুবই', 'বাজে']","['আলু', 'ভর্', 'খুব', 'বাজে']",4
খুবই বাজে। একটি পিজ্জা এতো পাতলা হয় আজ না খেলে জানতাম না। এক্সট্রা চিজ এড করা হয়েছিল তাও এড করে নি। সবমিলিয়ে খুবই বাজে অভিজ্ঞতা হলো।,0,খুব বাজে পিজ্জা এত পাতলা না খাল জানতাম না এক্সট্ চিজ এড কর হয় তাও এড নি সবমিলা খুব বাজে অভিজ্ঞতা হলো,খুবই বাজে পিজ্জা এতো পাতলা না খেলে জানতাম না এক্সট্রা চিজ এড করা হয়ে তাও এড নি সবমিলিয়ে খুবই বাজে অভিজ্ঞতা হলো,"['খুবই', 'বাজে', 'পিজ্জা', 'এতো', 'পাতলা', 'না', 'খেলে', 'জানতাম', 'না', 'এক্সট্রা', 'চিজ', 'এড', 'করা', 'হয়ে', 'তাও', 'এড', 'নি', 'সবমিলিয়ে', 'খুবই', 'বাজে', 'অভিজ্ঞতা', 'হলো']","['খুব', 'বাজে', 'পিজ্জা', 'এত', 'পাতলা', 'না', 'খাল', 'জানতাম', 'না', 'এক্সট্', 'চিজ', 'এড', 'কর', 'হয়', 'তাও', 'এড', 'নি', 'সবমিলা', 'খুব', 'বাজে', 'অভিজ্ঞতা', 'হলো']",22
পোলাও একদম বাজে,0,পোলা একদম বাজে,পোলাও একদম বাজে,"['পোলাও', 'একদম', 'বাজে']","['পোলা', 'একদম', 'বাজে']",3
ডাল আহামরি কিছু না,2,ডাল আহামরি না,ডাল আহামরি না,"['ডাল', 'আহামরি', 'না']","['ডাল', 'আহামরি', 'না']",3
এত ফালতু ইফতার কমই খাইসি,0,ফালতু ইফত কম খাইসি, ফালতু ইফতার কমই খাইসি,"['ফালতু', 'ইফতার', 'কমই', 'খাইসি']","['ফালতু', 'ইফত', 'কম', 'খাইসি']",4
দুধ  মোটামুটি ,2,দুধ মোটামু,দুধ মোটামুটি,"['দুধ', 'মোটামুটি']","['দুধ', 'মোটামু']",2
কাবাব খেয়ে আমি তো মুগ্ধ,1,কাবাব খায় মুগ্ধ,কাবাব খেয়ে মুগ্ধ,"['কাবাব', 'খেয়ে', 'মুগ্ধ']","['কাবাব', 'খায়', 'মুগ্ধ']",3
পিঠা আর একটু হলে জমে যেত,2,পিঠা একটু জমে যেত,পিঠা একটু জমে যেত,"['পিঠা', 'একটু', 'জমে', 'যেত']","['পিঠা', 'একটু', 'জমে', 'যেত']",4
আমি চেয়েছি ২৮ টা ডাল পুড়ি কিন্তু দিয়েছে ২০ টা। স্বাদ ভাল ছিল,1,চেয়েছি ডাল পুড়ি দিয় স্বাদ ভাল ছিল, চেয়েছি ডাল পুড়ি দিয়েছে স্বাদ ভাল ছিল,"['চেয়েছি', 'ডাল', 'পুড়ি', 'দিয়েছে', 'স্বাদ', 'ভাল', 'ছিল']","['চেয়েছি', 'ডাল', 'পুড়ি', 'দিয়', 'স্বাদ', 'ভাল', 'ছিল']",7
সবজি খেতে খুব ভালো ,1,সবজি খেত ভালো,সবজি খেতে ভালো,"['সবজি', 'খেতে', 'ভালো']","['সবজি', 'খেত', 'ভালো']",3
নিরামিষ দাম অনুযায়ী মোটামুটি,2,নিরামিষ দাম মোটামু,নিরামিষ দাম মোটামুটি,"['নিরামিষ', 'দাম', 'মোটামুটি']","['নিরামিষ', 'দাম', 'মোটামু']",3
মাংশ মাত্র ২ পিছ করে দেওয়া হইছে,0,মাংশ পিছ হই,মাংশ পিছ হইছে,"['মাংশ', 'পিছ', 'হইছে']","['মাংশ', 'পিছ', 'হই']",3
সল্ট বেশি ছিল আর রাইস আর চিকেন বেশি দিলে ভাল হতো,0,সল্ট রাইস চি দিলে ভাল হত,সল্ট রাইস চি দিলে ভাল হতো,"['সল্ট', 'রাইস', 'চি', 'দিলে', 'ভাল', 'হতো']","['সল্ট', 'রাইস', 'চি', 'দিলে', 'ভাল', 'হত']",6
কালা ভূনা পরিমানে অনেক কম,0,কালা ভূনা পরিমানে কম,কালা ভূনা পরিমানে কম,"['কালা', 'ভূনা', 'পরিমানে', 'কম']","['কালা', 'ভূনা', 'পরিমানে', 'কম']",4
খানা মজা nai দাম বেশি,0,খানা মজা nai দাম বেশি,খানা মজা nai দাম বেশি,"['খানা', 'মজা', 'nai', 'দাম', 'বেশি']","['খানা', 'মজা', 'nai', 'দাম', 'বেশি']",5
দুধ  খেতে খারাপ,0,দুধ খেত খারাপ,দুধ খেতে খারাপ,"['দুধ', 'খেতে', 'খারাপ']","['দুধ', 'খেত', 'খারাপ']",3
একটা আলুর চপ তার সাথে সালাফ এবং লুচির মিক্সিং এ বানানো মজার খাবার এটি।,1,এক আলুর চপ সাথে সালাফ লুচির মিক্সিং বানানো মজ খা এটি,একটা আলুর চপ সাথে সালাফ লুচির মিক্সিং বানানো মজার খা এটি,"['একটা', 'আলুর', 'চপ', 'সাথে', 'সালাফ', 'লুচির', 'মিক্সিং', 'বানানো', 'মজার', 'খা', 'এটি']","['এক', 'আলুর', 'চপ', 'সাথে', 'সালাফ', 'লুচির', 'মিক্সিং', 'বানানো', 'মজ', 'খা', 'এটি']",11
সবজি আর আরেক্টু বাড়ালে জমতো,2,সবজি আরেক্টু বাড়ালে জম,সবজি আরেক্টু বাড়ালে জমতো,"['সবজি', 'আরেক্টু', 'বাড়ালে', 'জমতো']","['সবজি', 'আরেক্টু', 'বাড়ালে', 'জম']",4
খাবার ভালো ছিলো না,0,খা ভালো ছিলো না,খা ভালো ছিলো না,"['খা', 'ভালো', 'ছিলো', 'না']","['খা', 'ভালো', 'ছিলো', 'না']",4
মাংস মোটামটি ভালো ,2,মাংস মোটাম ভালো,মাংস মোটামটি ভালো,"['মাংস', 'মোটামটি', 'ভালো']","['মাংস', 'মোটাম', 'ভালো']",3
পোলাও খেতে খুব ভালো ,1,পোলা খেত ভালো,পোলাও খেতে ভালো,"['পোলাও', 'খেতে', 'ভালো']","['পোলা', 'খেত', 'ভালো']",3
কাবাব অনেক জোস খাইতে ,1,কাবাব জোস খাইতে,কাবাব জোস খাইতে,"['কাবাব', 'জোস', 'খাইতে']","['কাবাব', 'জোস', 'খাইতে']",3
কমলা আর একটু হলে জমতো,2,কমলা একটু জম,কমলা একটু জমতো,"['কমলা', 'একটু', 'জমতো']","['কমলা', 'একটু', 'জম']",3
খুলনার চুঁইঝাল খুলনারই আর কোথাও ঐটার তুলনা হয়না। তবে ঝোল আরেকটু ঘন হওয়া উচিত।,0,খুলন চুঁইঝাল খুলন কোথা ঐটা তুলনা হয়না ঝোল আরেকটু ঘন হওয়া উচিত,খুলনার চুঁইঝাল খুলনারই কোথাও ঐটার তুলনা হয়না ঝোল আরেকটু ঘন হওয়া উচিত,"['খুলনার', 'চুঁইঝাল', 'খুলনারই', 'কোথাও', 'ঐটার', 'তুলনা', 'হয়না', 'ঝোল', 'আরেকটু', 'ঘন', 'হওয়া', 'উচিত']","['খুলন', 'চুঁইঝাল', 'খুলন', 'কোথা', 'ঐটা', 'তুলনা', 'হয়না', 'ঝোল', 'আরেকটু', 'ঘন', 'হওয়া', 'উচিত']",12
আলু ভর্তা আরও বেশি দরকার,2,আলু ভর্ দরক,আলু ভর্ দরকার,"['আলু', 'ভর্', 'দরকার']","['আলু', 'ভর্', 'দরক']",3
মাছের তরকারি আহামরি কিছু না,2,মাছ তরকারি আহামরি না,মাছের তরকারি আহামরি না,"['মাছের', 'তরকারি', 'আহামরি', 'না']","['মাছ', 'তরকারি', 'আহামরি', 'না']",4
নিরামিষ এভারেজ,2,নিরামিষ এভারেজ,নিরামিষ এভারেজ,"['নিরামিষ', 'এভারেজ']","['নিরামিষ', 'এভারেজ']",2
চিকেন ফ্রাই টা ভাল লাগছে,1,চি ফ্রা ভাল লাগ,চি ফ্রাই ভাল লাগছে,"['চি', 'ফ্রাই', 'ভাল', 'লাগছে']","['চি', 'ফ্রা', 'ভাল', 'লাগ']",4
বার্গার আহামরি কিছু না,2,বার্গার আহামরি না,বার্গার আহামরি না,"['বার্গার', 'আহামরি', 'না']","['বার্গার', 'আহামরি', 'না']",3
"খুব ভালো ছিলো খাবার,",1,ভালো ছিলো খাবা, ভালো ছিলো খাবার,"['ভালো', 'ছিলো', 'খাবার']","['ভালো', 'ছিলো', 'খাবা']",3
ফ্রেন্স ফ্রাই তুলনা মূলক ভাবে কম,2,ফ্রেন্স ফ্রা তুলনা মূলক কম,ফ্রেন্স ফ্রাই তুলনা মূলক কম,"['ফ্রেন্স', 'ফ্রাই', 'তুলনা', 'মূলক', 'কম']","['ফ্রেন্স', 'ফ্রা', 'তুলনা', 'মূলক', 'কম']",5
"আমি অর্ডার করেছিলাম buy 1 get 1, ১২"" পিজ্জার সাথে ফ্রী ৬"" পিজ্জা টা দেয় নি, রিপোর্ট করার পর ৫০ টাকা রিফান্ড করতে চায়, ৬"" পিজ্জার দাম ৫০ টাক!!!!?, আর পিজ্জার ক্রাস্ট খুব পাতলা, টেস্ট গড়পড়তা, সময় বেশী নেয় অনেক",0,অর্ড করেছি buy get পিজ্জ সাথে ফ্রী পিজ্জা দেয় নি রিপোর্ট র টাকা রিফান্ড চায় পিজ্জ দাম টাক পিজ্জ ক্রাস্ট পাতলা টেস্ট গড়পড়তা সময় বেশী নেয় অনেক, অর্ডার করেছিলাম buy get পিজ্জার সাথে ফ্রী পিজ্জা দেয় নি রিপোর্ট র টাকা রিফান্ড চায় পিজ্জার দাম টাক পিজ্জার ক্রাস্ট পাতলা টেস্ট গড়পড়তা সময় বেশী নেয় অনেক,"['অর্ডার', 'করেছিলাম', 'buy', 'get', 'পিজ্জার', 'সাথে', 'ফ্রী', 'পিজ্জা', 'দেয়', 'নি', 'রিপোর্ট', 'র', 'টাকা', 'রিফান্ড', 'চায়', 'পিজ্জার', 'দাম', 'টাক', 'পিজ্জার', 'ক্রাস্ট', 'পাতলা', 'টেস্ট', 'গড়পড়তা', 'সময়', 'বেশী', 'নেয়', 'অনেক']","['অর্ড', 'করেছি', 'buy', 'get', 'পিজ্জ', 'সাথে', 'ফ্রী', 'পিজ্জা', 'দেয়', 'নি', 'রিপোর্ট', 'র', 'টাকা', 'রিফান্ড', 'চায়', 'পিজ্জ', 'দাম', 'টাক', 'পিজ্জ', 'ক্রাস্ট', 'পাতলা', 'টেস্ট', 'গড়পড়তা', 'সময়', 'বেশী', 'নেয়', 'অনেক']",27
পায়েস মুটামুটি ভালো ,2,পায়েস মুটামু ভালো,পায়েস মুটামু ভালো,"['পায়েস', 'মুটামু', 'ভালো']","['পায়েস', 'মুটামু', 'ভালো']",3
তেহারির চেয়ে আমার এটা বেস্ট লেগেছে!,1,তেহারির চায় বেস্ট লাগ,তেহারির চেয়ে বেস্ট লেগেছে,"['তেহারির', 'চেয়ে', 'বেস্ট', 'লেগেছে']","['তেহারির', 'চায়', 'বেস্ট', 'লাগ']",4
সবজি কোয়ান্টিটি অনেক  কম,0,সবজি কোয়ান্ কম,সবজি কোয়ান্টি কম,"['সবজি', 'কোয়ান্টি', 'কম']","['সবজি', 'কোয়ান্', 'কম']",3
"সস্তা খাবার, অসাধারণ কিছু নয়।",2,সস্ খা অসাধারণ নয়,সস্ খা অসাধারণ নয়,"['সস্', 'খা', 'অসাধারণ', 'নয়']","['সস্', 'খা', 'অসাধারণ', 'নয়']",4
পায়েস খুবই সুস্বাদু,1,পায়েস খুব সুস্বাদু,পায়েস খুবই সুস্বাদু,"['পায়েস', 'খুবই', 'সুস্বাদু']","['পায়েস', 'খুব', 'সুস্বাদু']",3
বাজে,0,বাজে,বাজে,['বাজে'],['বাজে'],1
ভাত পরিমাণে মাঝারি,2,ভাত পরিমাণে মাঝারি,ভাত পরিমাণে মাঝারি,"['ভাত', 'পরিমাণে', 'মাঝারি']","['ভাত', 'পরিমাণে', 'মাঝারি']",3
"বাই ওয়ান-গেট ওয়ান,একটা বাজে খাবার।খাবারের মান আরো উন্নতি করুন।হুদাই পাবলিকের টাকা নিয়ে নিচ্ছেন।",0,বাই ওয়ান গেট ওয়ান এক বাজে খা খাবারের মান আরো উন্নতি করুন হুদা পাবলিক টাকা নেয়,বাই ওয়ান গেট ওয়ান একটা বাজে খা খাবারের মান আরো উন্নতি করুন হুদাই পাবলিকের টাকা নিচ্ছেন,"['বাই', 'ওয়ান', 'গেট', 'ওয়ান', 'একটা', 'বাজে', 'খা', 'খাবারের', 'মান', 'আরো', 'উন্নতি', 'করুন', 'হুদাই', 'পাবলিকের', 'টাকা', 'নিচ্ছেন']","['বাই', 'ওয়ান', 'গেট', 'ওয়ান', 'এক', 'বাজে', 'খা', 'খাবারের', 'মান', 'আরো', 'উন্নতি', 'করুন', 'হুদা', 'পাবলিক', 'টাকা', 'নেয়']",16
খিচুড়ি মোটামটি ভালো ,2,খিচুড়ি মোটাম ভালো,খিচুড়ি মোটামটি ভালো,"['খিচুড়ি', 'মোটামটি', 'ভালো']","['খিচুড়ি', 'মোটাম', 'ভালো']",3
৩ টাকা দামের গরম গরম সিংগাড়া বেশ ভাল লেগেছে।,1,টাকা দাম গরম গরম সিংগাড়া ভাল লাগ,টাকা দামের গরম গরম সিংগাড়া ভাল লেগেছে,"['টাকা', 'দামের', 'গরম', 'গরম', 'সিংগাড়া', 'ভাল', 'লেগেছে']","['টাকা', 'দাম', 'গরম', 'গরম', 'সিংগাড়া', 'ভাল', 'লাগ']",7
রোস্ট খেতে মোটামটি,2,রোস্ট খেত মোটাম,রোস্ট খেতে মোটামটি,"['রোস্ট', 'খেতে', 'মোটামটি']","['রোস্ট', 'খেত', 'মোটাম']",3
খাবারের মান খুবই বাজে।যদি ক্ষুধা লাগে তাইলে কোন্মতে পেট ভরাতে পারবেন কিন্ত দাম হিসাবে কোয়ালিটির আকাশ পাতাল পার্থক্য।,0,খাবারের মান খুব বাজে ক্ষুধা লাগে তাইলে কোন্ম পেট ভরা পার কিন্ত দাম কোয়ালি আকাশ পাতাল পার্থক্য,খাবারের মান খুবই বাজে ক্ষুধা লাগে তাইলে কোন্মতে পেট ভরাতে পারবেন কিন্ত দাম কোয়ালিটির আকাশ পাতাল পার্থক্য,"['খাবারের', 'মান', 'খুবই', 'বাজে', 'ক্ষুধা', 'লাগে', 'তাইলে', 'কোন্মতে', 'পেট', 'ভরাতে', 'পারবেন', 'কিন্ত', 'দাম', 'কোয়ালিটির', 'আকাশ', 'পাতাল', 'পার্থক্য']","['খাবারের', 'মান', 'খুব', 'বাজে', 'ক্ষুধা', 'লাগে', 'তাইলে', 'কোন্ম', 'পেট', 'ভরা', 'পার', 'কিন্ত', 'দাম', 'কোয়ালি', 'আকাশ', 'পাতাল', 'পার্থক্য']",17
ডাল টেস্ট জঘন্য,0,ডাল টেস্ট জঘন্য,ডাল টেস্ট জঘন্য,"['ডাল', 'টেস্ট', 'জঘন্য']","['ডাল', 'টেস্ট', 'জঘন্য']",3
ছবি দেখেই যেনো সুঘ্রাণ পাচ্ছি😍,1,ছবি দাখ যেনো সুঘ্রাণ পাচ্,ছবি দেখেই যেনো সুঘ্রাণ পাচ্ছি,"['ছবি', 'দেখেই', 'যেনো', 'সুঘ্রাণ', 'পাচ্ছি']","['ছবি', 'দাখ', 'যেনো', 'সুঘ্রাণ', 'পাচ্']",5
অনেক মজার খিচুরি,1,মজ খিচুরি, মজার খিচুরি,"['মজার', 'খিচুরি']","['মজ', 'খিচুরি']",2
একদম বাজে খাবার কোন স্বাদ নেই,0,একদম বাজে খা স্বাদ নেই,একদম বাজে খা স্বাদ নেই,"['একদম', 'বাজে', 'খা', 'স্বাদ', 'নেই']","['একদম', 'বাজে', 'খা', 'স্বাদ', 'নেই']",5
বার্গার মোটামটি ভালো,2,বার্গার মোটাম ভালো,বার্গার মোটামটি ভালো,"['বার্গার', 'মোটামটি', 'ভালো']","['বার্গার', 'মোটাম', 'ভালো']",3
মাছের তরকারি একদম বাজে,0,মাছ তরকারি একদম বাজে,মাছের তরকারি একদম বাজে,"['মাছের', 'তরকারি', 'একদম', 'বাজে']","['মাছ', 'তরকারি', 'একদম', 'বাজে']",4
"চোরের দল,গরুর মাংস ৪ পিস লিখা আছে সেখানে ২ পিস করে দিয়েছে।খাবার ঠান্ডা।একদম চোর আপনারা।তার সাথে ফুড পান্ডাও চোর খাবার নিবার সময় চেক করবেন না যে তাদের কথা মতো খাবার আছে কিনা।",0,চোর দল গরুর মাংস পিস লিখা পিস দিয় খা ঠান্ডা একদম চোর সাথে ফুড পান্ডা চোর খা নি সময় চেক ন না যে কথা খা কিনা,চোরের দল গরুর মাংস পিস লিখা পিস দিয়েছে খা ঠান্ডা একদম চোর সাথে ফুড পান্ডাও চোর খা নি সময় চেক ন না যে কথা খা কিনা,"['চোরের', 'দল', 'গরুর', 'মাংস', 'পিস', 'লিখা', 'পিস', 'দিয়েছে', 'খা', 'ঠান্ডা', 'একদম', 'চোর', 'সাথে', 'ফুড', 'পান্ডাও', 'চোর', 'খা', 'নি', 'সময়', 'চেক', 'ন', 'না', 'যে', 'কথা', 'খা', 'কিনা']","['চোর', 'দল', 'গরুর', 'মাংস', 'পিস', 'লিখা', 'পিস', 'দিয়', 'খা', 'ঠান্ডা', 'একদম', 'চোর', 'সাথে', 'ফুড', 'পান্ডা', 'চোর', 'খা', 'নি', 'সময়', 'চেক', 'ন', 'না', 'যে', 'কথা', 'খা', 'কিনা']",26
অনেক মজাদার খাবার দেখলেই খেতে মন চায়।,1,মজ খা দেখলে খেত মন চায়, মজাদার খা দেখলেই খেতে মন চায়,"['মজাদার', 'খা', 'দেখলেই', 'খেতে', 'মন', 'চায়']","['মজ', 'খা', 'দেখলে', 'খেত', 'মন', 'চায়']",6
ডিমের তরকারি আরও বেশি দরকার,2,ডিম তরকারি দরক,ডিমের তরকারি দরকার,"['ডিমের', 'তরকারি', 'দরকার']","['ডিম', 'তরকারি', 'দরক']",3
ভর্তা ছিল অসাধারণ।,1,ভর্ অসাধারণ,ভর্ অসাধারণ,"['ভর্', 'অসাধারণ']","['ভর্', 'অসাধারণ']",2
ভালো হয়েছে মাটন কাচ্চীটা আরও ভালো হলে ভালো হতো।,2,ভালো হয় মাটন কাচ্চী ভালো ভালো হত,ভালো হয়েছে মাটন কাচ্চী ভালো ভালো হতো,"['ভালো', 'হয়েছে', 'মাটন', 'কাচ্চী', 'ভালো', 'ভালো', 'হতো']","['ভালো', 'হয়', 'মাটন', 'কাচ্চী', 'ভালো', 'ভালো', 'হত']",7
সবজি আরও রান্না হলে ভালো হতো,2,সবজি রান্না ভালো হত,সবজি রান্না ভালো হতো,"['সবজি', 'রান্না', 'ভালো', 'হতো']","['সবজি', 'রান্না', 'ভালো', 'হত']",4
টাকা বেশি নিলেও ফুটপাতের মতো খাবার ছিলো।,0,টাকা নিলে ফুটপাত খা ছিলো,টাকা নিলেও ফুটপাতের খা ছিলো,"['টাকা', 'নিলেও', 'ফুটপাতের', 'খা', 'ছিলো']","['টাকা', 'নিলে', 'ফুটপাত', 'খা', 'ছিলো']",5
কমলা অনেক খারাপ খাইতে ,0,কমলা খারাপ খাইতে,কমলা খারাপ খাইতে,"['কমলা', 'খারাপ', 'খাইতে']","['কমলা', 'খারাপ', 'খাইতে']",3
কালা ভূনা এভারেজ লেগেছ,2,কালা ভূনা এভারেজ লাগ,কালা ভূনা এভারেজ লেগেছ,"['কালা', 'ভূনা', 'এভারেজ', 'লেগেছ']","['কালা', 'ভূনা', 'এভারেজ', 'লাগ']",4
"অর্ডার দিলাম ৬টা, দিলাম ৫টা। এছাড়াও তারা মাছের পেস্ট পরিবর্তন করে তাদের পছন্দমতো টমেটো পেস্ট দিয়েছিল। তবে খাবারের স্বাদ মোটামুটি ভালো।",2,অর্ড দিল া দিল া এছাড়া মাছ পেস্ট পরিবর্তন পছন্দম টমেটো পেস্ট দিয়ে খাবারের স্বাদ মোটামু ভালো,অর্ডার দিলাম া দিলাম া এছাড়াও মাছের পেস্ট পরিবর্তন পছন্দমতো টমেটো পেস্ট দিয়ে খাবারের স্বাদ মোটামু ভালো,"['অর্ডার', 'দিলাম', 'া', 'দিলাম', 'া', 'এছাড়াও', 'মাছের', 'পেস্ট', 'পরিবর্তন', 'পছন্দমতো', 'টমেটো', 'পেস্ট', 'দিয়ে', 'খাবারের', 'স্বাদ', 'মোটামু', 'ভালো']","['অর্ড', 'দিল', 'া', 'দিল', 'া', 'এছাড়া', 'মাছ', 'পেস্ট', 'পরিবর্তন', 'পছন্দম', 'টমেটো', 'পেস্ট', 'দিয়ে', 'খাবারের', 'স্বাদ', 'মোটামু', 'ভালো']",17
কাবাব ভালো ছিল কিন্তু দামে বেশি,2,কাবাব ভালো দামে বেশি,কাবাব ভালো দামে বেশি,"['কাবাব', 'ভালো', 'দামে', 'বেশি']","['কাবাব', 'ভালো', 'দামে', 'বেশি']",4
ভাত একদম সেরা ,1,ভাত একদম সের,ভাত একদম সেরা,"['ভাত', 'একদম', 'সেরা']","['ভাত', 'একদম', 'সের']",3
"মশলাদার এ গরুর মাংসের মশলার স্বাদটা প্রথমে কিছুটা সুইট সুইটই লেগেছে। কিন্তু এটিতে বেশ ভালো পরিমাণে কাঁচামরিচ কুচি এবং পেয়াজ কুচি দেওয়া। দাম একটু বেশী, তবে খেতে সুস্বাদু।",1,মশল গরুর মাংস মশল স্বাদ প্রথমে কিছু সুইট সুইটই এটি ভালো পরিমাণে কাঁচামরিচ কুচি পেয়াজ কুচি দাম একটু বেশী খেত সুস্বাদু,মশলাদার গরুর মাংসের মশলার স্বাদটা প্রথমে কিছু সুইট সুইটই এটিতে ভালো পরিমাণে কাঁচামরিচ কুচি পেয়াজ কুচি দাম একটু বেশী খেতে সুস্বাদু,"['মশলাদার', 'গরুর', 'মাংসের', 'মশলার', 'স্বাদটা', 'প্রথমে', 'কিছু', 'সুইট', 'সুইটই', 'এটিতে', 'ভালো', 'পরিমাণে', 'কাঁচামরিচ', 'কুচি', 'পেয়াজ', 'কুচি', 'দাম', 'একটু', 'বেশী', 'খেতে', 'সুস্বাদু']","['মশল', 'গরুর', 'মাংস', 'মশল', 'স্বাদ', 'প্রথমে', 'কিছু', 'সুইট', 'সুইটই', 'এটি', 'ভালো', 'পরিমাণে', 'কাঁচামরিচ', 'কুচি', 'পেয়াজ', 'কুচি', 'দাম', 'একটু', 'বেশী', 'খেত', 'সুস্বাদু']",21
পোলাও আর আরেক্টু হলে জমতো,2,পোলা আরেক্টু জম,পোলাও আরেক্টু জমতো,"['পোলাও', 'আরেক্টু', 'জমতো']","['পোলা', 'আরেক্টু', 'জম']",3
খাবার ভলো চিলো..বিটি আরো অর্ডার করতে চেইছিলম..পুর দেখি পোর্টাল অফ কোরা,0,খা ভলো চিলো বি আরো অর্ড চেইছিলম পুর দেখি পোর্টাল অফ কোর,খা ভলো চিলো বি আরো অর্ডার চেইছিলম পুর দেখি পোর্টাল অফ কোরা,"['খা', 'ভলো', 'চিলো', 'বি', 'আরো', 'অর্ডার', 'চেইছিলম', 'পুর', 'দেখি', 'পোর্টাল', 'অফ', 'কোরা']","['খা', 'ভলো', 'চিলো', 'বি', 'আরো', 'অর্ড', 'চেইছিলম', 'পুর', 'দেখি', 'পোর্টাল', 'অফ', 'কোর']",12
সিংগারা আহামরি কিছু না,2,সিংগা আহামরি না,সিংগারা আহামরি না,"['সিংগারা', 'আহামরি', 'না']","['সিংগা', 'আহামরি', 'না']",3
রোস্ট এভারেজ,2,রোস্ট এভারেজ,রোস্ট এভারেজ,"['রোস্ট', 'এভারেজ']","['রোস্ট', 'এভারেজ']",2
